square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
3,20,12,471,25,12.26,496,46.81,0.45,0.5
14,36,17,455,5,2.38,460,13.24,0.53,0.55
4,164,99,488,12,5.96,500,25.2,0.5,0.53
7,240,84,505,15,7.38,520,30.13,0.49,0.52
4,178,99,537,7,3.43,544,16.71,0.52,0.54
7,226,84,532,9,4.29,541,19.82,0.51,0.54
4,169,99,625,13,6.52,638,27.01,0.49,0.53
11,768,1,701,2,1.04,703,8.46,0.54,0.55
2,965,94,800,18,9.08,818,35.57,0.47000000000000003,0.52
2,950,94,812,7,3.37,819,16.58,0.52,0.54
0,310,45,1032,2,0.9500000000000001,1034,8.28,0.54,0.55
0,339,45,1063,13,6.31,1076,26.62,0.5,0.53
11,448,5,1073,7,3.25,1080,16.38,0.52,0.54
5,326,74,1109,4,2.02,1113,11.8,0.53,0.55
11,478,5,1118,9,4.7,1127,20.58,0.51,0.54
5,475,74,1146,6,3.03,1152,15.2,0.52,0.54
11,742,5,1231,14,7.22,1245,29.05,0.49,0.53
2,283,70,1268,16,8.21,1284,32.42,0.48,0.52
2,584,70,1305,9,4.48,1314,20.17,0.51,0.54
2,534,70,1320,2,1.07,1322,8.51,0.54,0.55
2,573,70,1351,7,3.73,1358,17.25,0.52,0.54
14,809,26,61,14,7.15,75,28.94,0.49,0.53
14,809,26,61,14,7.15,75,28.94,0.49,0.53
3,944,66,171,16,7.99,187,32.03,0.48,0.52
3,944,66,171,16,7.99,187,32.03,0.48,0.52
3,802,66,241,7,3.5100000000000002,248,16.85,0.52,0.54
3,802,66,241,7,3.5100000000000002,248,16.85,0.52,0.54
1,153,35,352,5,2.32,357,13.13,0.53,0.55
1,153,35,352,5,2.32,357,13.13,0.53,0.55
4,874,51,376,14,7.23,390,29.07,0.49,0.53
4,874,51,376,14,7.23,390,29.07,0.49,0.53
0,229,47,411,17,8.72,428,34.14,0.48,0.52
0,229,47,411,17,8.72,428,34.14,0.48,0.52
1,192,35,434,15,7.48,449,30.31,0.49,0.52
1,192,35,434,15,7.48,449,30.31,0.49,0.52
4,117,51,445,19,9.31,464,36.77,0.47000000000000003,0.52
4,117,51,445,19,9.31,464,36.77,0.47000000000000003,0.52
6,214,52,444,2,0.9400000000000001,446,8.27,0.54,0.55
6,214,52,444,2,0.9400000000000001,446,8.27,0.54,0.55
1,86,35,465,10,5.2,475,22.26,0.51,0.53
1,86,35,465,10,5.2,475,22.26,0.51,0.53
6,791,52,464,5,2.63,469,13.69,0.53,0.55
6,791,52,464,5,2.63,469,13.69,0.53,0.55
12,31,98,466,11,5.73,477,24.0,0.5,0.53
12,31,98,466,11,5.73,477,24.0,0.5,0.53
4,233,51,502,4,1.94,506,11.65,0.53,0.55
4,233,51,502,4,1.94,506,11.65,0.53,0.55
10,240,89,525,7,3.39,532,16.63,0.52,0.54
10,240,89,525,7,3.39,532,16.63,0.52,0.54
6,68,52,542,17,8.27,559,33.31,0.48,0.52
6,68,52,542,17,8.27,559,33.31,0.48,0.52
13,86,16,558,7,3.62,565,17.05,0.52,0.54
13,86,16,558,7,3.62,565,17.05,0.52,0.54
1,67,35,579,15,7.4,594,30.17,0.49,0.52
1,67,35,579,15,7.4,594,30.17,0.49,0.52
13,86,16,570,8,4.04,578,18.59,0.52,0.54
13,86,16,570,8,4.04,578,18.59,0.52,0.54
13,209,16,627,12,6.24,639,25.71,0.5,0.53
13,209,16,627,12,6.24,639,25.71,0.5,0.53
6,992,52,763,11,5.28,774,23.2,0.5,0.53
6,992,52,763,11,5.28,774,23.2,0.5,0.53
13,930,16,877,3,1.33,880,9.75,0.54,0.55
13,930,16,877,3,1.33,880,9.75,0.54,0.55
15,825,88,1016,9,4.58,1025,20.35,0.51,0.54
15,825,88,1016,9,4.58,1025,20.35,0.51,0.54
1,267,35,1044,1,0.53,1045,6.74,0.55,0.55
1,267,35,1044,1,0.53,1045,6.74,0.55,0.55
14,294,39,1027,7,3.74,1034,17.27,0.52,0.54
14,294,39,1027,7,3.74,1034,17.27,0.52,0.54
1,354,35,1067,7,3.32,1074,16.5,0.52,0.54
1,354,35,1067,7,3.32,1074,16.5,0.52,0.54
14,308,39,1067,10,5.13,1077,22.14,0.51,0.53
14,308,39,1067,10,5.13,1077,22.14,0.51,0.53
6,455,52,1083,10,4.87,1093,21.66,0.51,0.54
6,455,52,1083,10,4.87,1093,21.66,0.51,0.54
10,381,96,1108,9,4.66,1117,20.49,0.51,0.54
10,381,96,1108,9,4.66,1117,20.49,0.51,0.54
14,334,39,1082,1,0.45,1083,6.6,0.55,0.55
14,334,39,1082,1,0.45,1083,6.6,0.55,0.55
14,364,39,1135,3,1.73,1138,10.5,0.54,0.55
14,364,39,1135,3,1.73,1138,10.5,0.54,0.55
6,449,52,1141,10,4.82,1151,21.56,0.51,0.54
6,449,52,1141,10,4.82,1151,21.56,0.51,0.54
14,292,39,1160,5,2.4,1165,13.26,0.53,0.55
14,292,39,1160,5,2.4,1165,13.26,0.53,0.55
14,751,39,1180,9,4.27,1189,19.79,0.51,0.54
14,751,39,1180,9,4.27,1189,19.79,0.51,0.54
6,708,52,1223,6,3.17,1229,15.45,0.52,0.54
6,708,52,1223,6,3.17,1229,15.45,0.52,0.54
14,650,39,1229,14,6.99,1243,28.64,0.49,0.53
