square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
12,944,58,301,16,7.98,317,32.01,0.48,0.52
1,825,35,382,10,4.98,392,21.87,0.51,0.54
1,925,35,429,11,5.47,440,23.54,0.5,0.53
4,216,9,446,7,3.54,453,16.9,0.52,0.54
6,45,22,447,15,7.26,462,29.91,0.49,0.53
9,113,86,444,2,1.07,446,8.5,0.54,0.55
11,92,10,444,14,6.92,458,28.51,0.49,0.53
4,195,9,462,13,6.52,475,27.0,0.49,0.53
6,108,22,478,2,0.97,480,8.32,0.54,0.55
9,10,86,469,7,3.5100000000000002,476,16.85,0.52,0.54
1,140,35,483,7,3.42,490,16.69,0.52,0.54
4,101,9,501,7,3.31,508,16.49,0.52,0.54
4,51,9,530,16,7.79,546,31.65,0.48,0.52
15,117,92,545,8,4.16,553,18.81,0.52,0.54
1,545,35,597,9,4.51,606,20.23,0.51,0.54
14,0,39,619,9,4.46,628,20.13,0.51,0.54
2,816,6,771,4,1.98,775,11.73,0.53,0.55
9,446,65,982,15,7.32,997,30.02,0.49,0.52
9,390,65,1007,9,4.68,1016,20.53,0.51,0.54
11,345,15,1007,13,6.51,1020,26.99,0.5,0.53
9,986,65,1070,4,2.1,1074,11.93,0.53,0.55
2,368,6,1100,12,5.91,1112,25.11,0.5,0.53
9,494,65,1139,16,8.23,1155,32.45,0.48,0.52
4,494,60,1175,3,1.73,1178,10.49,0.54,0.55
4,657,60,1269,11,5.74,1280,24.03,0.5,0.53
4,521,60,1300,5,2.35,1305,13.18,0.53,0.55
4,533,60,1324,15,7.71,1339,30.72,0.49,0.52
9,528,65,1321,10,5.11,1331,22.1,0.51,0.53
1,667,37,1384,11,5.46,1395,23.51,0.5,0.53
9,547,65,1386,9,4.44,1395,20.09,0.51,0.54
4,590,60,1411,6,3.11,1417,15.35,0.52,0.54
7,808,5,1434,9,4.72,1443,20.6,0.51,0.54
6,235,98,383,6,2.82,389,14.81,0.53,0.54
6,235,98,383,6,2.82,389,14.81,0.53,0.54
6,122,98,409,10,5.21,419,22.28,0.51,0.53
6,122,98,409,10,5.21,419,22.28,0.51,0.53
2,5,28,444,15,7.48,459,30.32,0.49,0.52
2,5,28,444,15,7.48,459,30.32,0.49,0.52
3,194,55,425,7,3.31,432,16.49,0.52,0.54
3,194,55,425,7,3.31,432,16.49,0.52,0.54
6,211,98,426,5,2.69,431,13.8,0.53,0.55
6,211,98,426,5,2.69,431,13.8,0.53,0.55
2,111,28,479,21,10.52,500,40.52,0.46,0.51
2,111,28,479,21,10.52,500,40.52,0.46,0.51
15,145,10,516,13,6.42,529,26.83,0.5,0.53
15,145,10,516,13,6.42,529,26.83,0.5,0.53
5,108,27,546,1,0.68,547,7.02,0.54,0.55
5,108,27,546,1,0.68,547,7.02,0.54,0.55
15,48,10,544,14,6.8,558,28.3,0.49,0.53
15,48,10,544,14,6.8,558,28.3,0.49,0.53
15,819,10,655,15,7.35,670,30.08,0.49,0.52
15,819,10,655,15,7.35,670,30.08,0.49,0.52
5,105,27,660,3,1.54,663,10.15,0.54,0.55
5,105,27,660,3,1.54,663,10.15,0.54,0.55
2,999,28,723,8,4.09,731,18.68,0.52,0.54
2,999,28,723,8,4.09,731,18.68,0.52,0.54
2,827,28,825,2,1.21,827,8.76,0.54,0.55
2,827,28,825,2,1.21,827,8.76,0.54,0.55
15,984,10,838,9,4.28,847,19.8,0.51,0.54
15,984,10,838,9,4.28,847,19.8,0.51,0.54
2,985,28,863,6,3.14,869,15.39,0.52,0.54
2,985,28,863,6,3.14,869,15.39,0.52,0.54
4,806,86,859,12,5.85,871,25.01,0.5,0.53
4,806,86,859,12,5.85,871,25.01,0.5,0.53
1,916,68,883,12,5.79,895,24.9,0.5,0.53
1,916,68,883,12,5.79,895,24.9,0.5,0.53
1,973,68,932,16,7.78,948,31.65,0.48,0.52
1,973,68,932,16,7.78,948,31.65,0.48,0.52
2,250,28,943,7,3.48,950,16.8,0.52,0.54
2,250,28,943,7,3.48,950,16.8,0.52,0.54
7,903,41,954,12,5.99,966,25.26,0.5,0.53
7,903,41,954,12,5.99,966,25.26,0.5,0.53
7,494,41,969,7,3.72,976,17.23,0.52,0.54
7,494,41,969,7,3.72,976,17.23,0.52,0.54
7,289,41,996,9,4.69,1005,20.56,0.51,0.54
7,289,41,996,9,4.69,1005,20.56,0.51,0.54
12,351,17,1013,15,7.45,1028,30.25,0.49,0.52
12,351,17,1013,15,7.45,1028,30.25,0.49,0.52
8,292,35,1046,12,6.0,1058,25.28,0.5,0.53
8,292,35,1046,12,6.0,1058,25.28,0.5,0.53
12,997,17,1044,13,6.3,1057,26.61,0.5,0.53
12,997,17,1044,13,6.3,1057,26.61,0.5,0.53
8,263,35,1055,10,4.96,1065,21.83,0.51,0.54
8,263,35,1055,10,4.96,1065,21.83,0.51,0.54
12,277,17,1093,6,2.9,1099,14.96,0.53,0.54
12,277,17,1093,6,2.9,1099,14.96,0.53,0.54
8,478,35,1115,5,2.58,1120,13.59,0.53,0.55
8,478,35,1115,5,2.58,1120,13.59,0.53,0.55
10,446,37,1113,11,5.48,1124,23.56,0.5,0.53
10,446,37,1113,11,5.48,1124,23.56,0.5,0.53
8,450,35,1185,6,2.92,1191,15.0,0.52,0.54
8,450,35,1185,6,2.92,1191,15.0,0.52,0.54
7,276,41,1282,12,6.0,1294,25.28,0.5,0.53
7,276,41,1282,12,6.0,1294,25.28,0.5,0.53
8,528,35,1281,3,1.32,1284,9.73,0.54,0.55
8,528,35,1281,3,1.32,1284,9.73,0.54,0.55
14,722,77,1269,18,9.22,1287,35.82,0.47000000000000003,0.52
14,722,77,1269,18,9.22,1287,35.82,0.47000000000000003,0.52
14,657,77,1315,16,8.03,1331,32.1,0.48,0.52
14,657,77,1315,16,8.03,1331,32.1,0.48,0.52
7,537,41,1352,19,9.51,1371,37.12,0.47000000000000003,0.52
7,537,41,1352,19,9.51,1371,37.12,0.47000000000000003,0.52
14,639,77,1357,5,2.43,1362,13.33,0.53,0.55
14,639,77,1357,5,2.43,1362,13.33,0.53,0.55
2,983,95,277,7,3.25,284,16.38,0.52,0.54
2,983,95,277,7,3.25,284,16.38,0.52,0.54
2,983,95,277,7,3.25,284,16.38,0.52,0.54
11,79,92,331,12,6.08,343,25.42,0.5,0.53
11,79,92,331,12,6.08,343,25.42,0.5,0.53
11,79,92,331,12,6.08,343,25.42,0.5,0.53
9,197,90,363,7,3.55,370,16.91,0.52,0.54
9,197,90,363,7,3.55,370,16.91,0.52,0.54
9,197,90,363,7,3.55,370,16.91,0.52,0.54
12,536,56,388,10,5.01,398,21.91,0.51,0.54
12,536,56,388,10,5.01,398,21.91,0.51,0.54
12,536,56,388,10,5.01,398,21.91,0.51,0.54
11,121,92,392,11,5.49,403,23.57,0.5,0.53
11,121,92,392,11,5.49,403,23.57,0.5,0.53
11,121,92,392,11,5.49,403,23.57,0.5,0.53
12,94,56,400,16,7.89,416,31.85,0.48,0.52
12,94,56,400,16,7.89,416,31.85,0.48,0.52
12,94,56,400,16,7.89,416,31.85,0.48,0.52
13,70,3,414,12,6.15,426,25.56,0.5,0.53
13,70,3,414,12,6.15,426,25.56,0.5,0.53
13,70,3,414,12,6.15,426,25.56,0.5,0.53
12,245,56,431,20,10.07,451,38.92,0.47000000000000003,0.51
12,245,56,431,20,10.07,451,38.92,0.47000000000000003,0.51
12,245,56,431,20,10.07,451,38.92,0.47000000000000003,0.51
13,29,3,441,1,0.67,442,7.0,0.54,0.55
13,29,3,441,1,0.67,442,7.0,0.54,0.55
13,29,3,441,1,0.67,442,7.0,0.54,0.55
12,121,56,475,17,8.34,492,33.44,0.48,0.52
12,121,56,475,17,8.34,492,33.44,0.48,0.52
12,121,56,475,17,8.34,492,33.44,0.48,0.52
9,69,90,484,17,8.63,501,33.97,0.48,0.52
9,69,90,484,17,8.63,501,33.97,0.48,0.52
9,69,90,484,17,8.63,501,33.97,0.48,0.52
12,61,56,494,12,6.18,506,25.61,0.5,0.53
12,61,56,494,12,6.18,506,25.61,0.5,0.53
12,61,56,494,12,6.18,506,25.61,0.5,0.53
13,108,3,506,9,4.74,515,20.64,0.51,0.54
13,108,3,506,9,4.74,515,20.64,0.51,0.54
13,108,3,506,9,4.74,515,20.64,0.51,0.54
1,655,89,511,10,5.16,521,22.19,0.51,0.53
1,655,89,511,10,5.16,521,22.19,0.51,0.53
1,655,89,511,10,5.16,521,22.19,0.51,0.53
6,128,85,534,6,2.79,540,14.75,0.53,0.54
6,128,85,534,6,2.79,540,14.75,0.53,0.54
6,128,85,534,6,2.79,540,14.75,0.53,0.54
9,122,90,522,13,6.37,535,26.73,0.5,0.53
9,122,90,522,13,6.37,535,26.73,0.5,0.53
9,122,90,522,13,6.37,535,26.73,0.5,0.53
12,229,56,524,24,12.16,548,45.84,0.45,0.51
12,229,56,524,24,12.16,548,45.84,0.45,0.51
12,229,56,524,24,12.16,548,45.84,0.45,0.51
13,107,3,520,21,10.38,541,40.27,0.46,0.51
