square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
8,937,48,68,19,9.33,87,36.81,0.47000000000000003,0.52
14,956,33,271,13,6.68,284,27.31,0.49,0.53
15,773,51,296,20,9.93,316,38.68,0.47000000000000003,0.51
12,851,92,318,5,2.25,323,13.0,0.53,0.55
2,216,91,384,4,2.24,388,12.2,0.53,0.55
7,105,95,388,15,7.55,403,30.45,0.49,0.52
1,524,27,417,1,0.59,418,6.85,0.55,0.55
15,48,51,399,11,5.55,410,23.68,0.5,0.53
0,63,89,437,16,7.9,453,31.85,0.48,0.52
2,152,91,438,3,1.44,441,9.97,0.54,0.55
12,135,92,446,12,5.89,458,25.08,0.5,0.53
13,157,53,440,2,0.93,442,8.25,0.54,0.55
15,32,51,447,10,5.13,457,22.13,0.51,0.53
1,175,27,476,12,6.18,488,25.61,0.5,0.53
2,111,91,453,12,5.92,465,25.14,0.5,0.53
7,217,95,456,13,6.34,469,26.69,0.5,0.53
12,68,92,462,17,8.55,479,33.82,0.48,0.52
15,178,51,465,13,6.38,478,26.74,0.5,0.53
11,142,8,508,7,3.32,515,16.51,0.52,0.54
13,8,53,498,6,3.1,504,15.32,0.52,0.54
15,101,51,484,4,2.24,488,12.19,0.53,0.55
3,157,46,510,14,7.03,524,28.71,0.49,0.53
9,63,6,521,6,3.13,527,15.37,0.52,0.54
11,17,8,516,6,2.82,522,14.81,0.53,0.54
15,175,51,514,10,5.21,524,22.29,0.51,0.53
0,139,89,569,13,6.59,582,27.13,0.49,0.53
12,31,92,562,13,6.49,575,26.95,0.5,0.53
10,852,31,669,5,2.71,674,13.83,0.53,0.55
13,975,53,771,15,7.45,786,30.26,0.49,0.52
3,296,7,1104,8,3.85,1112,18.24,0.52,0.54
4,644,10,1260,10,5.17,1270,22.2,0.51,0.53
12,713,5,1318,18,9.17,1336,35.72,0.47000000000000003,0.52
4,742,10,1334,12,6.05,1346,25.37,0.5,0.53
11,538,93,1332,10,4.99,1342,21.89,0.51,0.54
12,546,5,1348,22,10.9,1370,41.99,0.46,0.51
4,723,10,1358,13,6.69,1371,27.32,0.49,0.53
11,507,93,1367,6,3.03,1373,15.2,0.52,0.54
14,651,4,1369,15,7.27,1384,29.93,0.49,0.53
14,556,4,1390,18,8.8,1408,35.05,0.47000000000000003,0.52
4,249,67,353,15,7.62,368,30.56,0.49,0.52
4,249,67,353,15,7.62,368,30.56,0.49,0.52
12,758,50,331,13,6.49,344,26.95,0.5,0.53
12,758,50,331,13,6.49,344,26.95,0.5,0.53
15,939,47,359,3,1.54,362,10.14,0.54,0.55
15,939,47,359,3,1.54,362,10.14,0.54,0.55
2,941,89,365,19,9.31,384,36.77,0.47000000000000003,0.52
2,941,89,365,19,9.31,384,36.77,0.47000000000000003,0.52
12,995,50,413,4,2.06,417,11.87,0.53,0.55
12,995,50,413,4,2.06,417,11.87,0.53,0.55
13,101,25,408,12,6.15,420,25.54,0.5,0.53
13,101,25,408,12,6.15,420,25.54,0.5,0.53
2,573,89,432,6,3.14,438,15.39,0.52,0.54
2,573,89,432,6,3.14,438,15.39,0.52,0.54
3,158,15,430,1,0.73,431,7.1,0.54,0.55
3,158,15,430,1,0.73,431,7.1,0.54,0.55
12,60,50,422,18,9.21,440,35.79,0.47000000000000003,0.52
12,60,50,422,18,9.21,440,35.79,0.47000000000000003,0.52
14,189,72,431,14,6.85,445,28.38,0.49,0.53
14,189,72,431,14,6.85,445,28.38,0.49,0.53
2,66,89,475,12,6.17,487,25.59,0.5,0.53
2,66,89,475,12,6.17,487,25.59,0.5,0.53
3,975,15,465,16,7.9,481,31.86,0.48,0.52
3,975,15,465,16,7.9,481,31.86,0.48,0.52
5,82,62,479,9,4.32,488,19.89,0.51,0.54
5,82,62,479,9,4.32,488,19.89,0.51,0.54
10,48,18,453,3,1.3800000000000001,456,9.85,0.54,0.55
10,48,18,453,3,1.3800000000000001,456,9.85,0.54,0.55
15,90,47,450,3,1.67,453,10.38,0.54,0.55
15,90,47,450,3,1.67,453,10.38,0.54,0.55
0,191,44,498,8,4.01,506,18.54,0.52,0.54
0,191,44,498,8,4.01,506,18.54,0.52,0.54
1,41,49,492,15,7.62,507,30.57,0.49,0.52
1,41,49,492,15,7.62,507,30.57,0.49,0.52
2,63,89,492,13,6.47,505,26.92,0.5,0.53
2,63,89,492,13,6.47,505,26.92,0.5,0.53
9,662,26,494,12,5.95,506,25.18,0.5,0.53
9,662,26,494,12,5.95,506,25.18,0.5,0.53
12,4,50,488,6,2.99,494,15.12,0.52,0.54
12,4,50,488,6,2.99,494,15.12,0.52,0.54
15,183,47,501,18,8.86,519,35.17,0.47000000000000003,0.52
15,183,47,501,18,8.86,519,35.17,0.47000000000000003,0.52
0,155,44,528,12,6.05,540,25.38,0.5,0.53
