square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
14,991,52,72,8,4.21,80,18.91,0.52,0.54
9,940,25,215,3,1.55,218,10.16,0.54,0.55
14,823,52,312,3,1.46,315,10.0,0.54,0.55
14,936,52,337,10,4.85,347,21.64,0.51,0.54
11,1,36,367,16,7.82,383,31.72,0.48,0.52
11,228,36,399,5,2.32,404,13.12,0.53,0.55
14,106,52,403,15,7.28,418,29.95,0.49,0.53
2,162,31,423,19,9.29,442,36.72,0.47000000000000003,0.52
5,89,54,426,3,1.62,429,10.28,0.54,0.55
2,108,31,463,15,7.58,478,30.49,0.49,0.52
9,183,25,456,7,3.38,463,16.61,0.52,0.54
5,130,54,496,4,2.07,500,11.89,0.53,0.55
7,130,69,486,10,4.99,496,21.88,0.51,0.54
2,242,31,514,11,5.38,525,23.38,0.5,0.53
9,249,25,529,12,6.14,541,25.53,0.5,0.53
6,780,15,597,7,3.71,604,17.21,0.52,0.54
7,850,69,593,8,3.92,601,18.38,0.52,0.54
9,63,25,586,3,1.66,589,10.36,0.54,0.55
11,172,58,572,7,3.46,579,16.76,0.52,0.54
13,205,57,608,21,10.7,629,40.85,0.46,0.51
7,785,69,649,10,5.22,659,22.3,0.51,0.53
7,885,69,776,17,8.55,793,33.82,0.48,0.52
3,914,71,871,4,1.77,875,11.34,0.53,0.55
3,260,71,944,10,4.75,954,21.45,0.51,0.54
3,823,71,1003,18,8.75,1021,34.97,0.48,0.52
3,310,71,1046,15,7.52,1061,30.39,0.49,0.52
3,368,71,1069,15,7.42,1084,30.21,0.49,0.52
3,251,71,1086,10,4.86,1096,21.65,0.51,0.54
15,433,16,1104,18,8.99,1122,35.4,0.47000000000000003,0.52
3,787,71,1167,19,9.72,1186,37.5,0.47000000000000003,0.52
3,490,71,1188,13,6.33,1201,26.67,0.5,0.53
7,518,10,1300,16,8.04,1316,32.11,0.48,0.52
3,652,71,1343,7,3.5100000000000002,1350,16.84,0.52,0.54
3,747,71,1383,15,7.35,1398,30.08,0.49,0.52
2,887,44,219,18,9.04,237,35.49,0.47000000000000003,0.52
2,887,44,219,18,9.04,237,35.49,0.47000000000000003,0.52
0,111,82,402,19,9.65,421,37.39,0.47000000000000003,0.52
0,111,82,402,19,9.65,421,37.39,0.47000000000000003,0.52
1,199,54,428,16,8.01,444,32.05,0.48,0.52
1,199,54,428,16,8.01,444,32.05,0.48,0.52
2,162,44,444,6,3.07,450,15.27,0.52,0.54
2,162,44,444,6,3.07,450,15.27,0.52,0.54
7,133,1,447,1,0.32,448,6.36,0.55,0.55
7,133,1,447,1,0.32,448,6.36,0.55,0.55
9,148,0,434,4,1.81,438,11.41,0.53,0.55
9,148,0,434,4,1.81,438,11.41,0.53,0.55
2,219,44,475,11,5.32,486,23.26,0.5,0.53
2,219,44,475,11,5.32,486,23.26,0.5,0.53
3,180,33,453,21,10.32,474,40.17,0.46,0.51
3,180,33,453,21,10.32,474,40.17,0.46,0.51
6,881,34,479,7,3.34,486,16.54,0.52,0.54
6,881,34,479,7,3.34,486,16.54,0.52,0.54
9,212,0,463,4,1.75,467,11.31,0.53,0.55
